Names,Original Prices,Current Prices,Discounts,Ratings,Review Counts,Free Shipping,URLs
"Turquoise Leaf Earrings, Art Nouveau, Arts and Crafts Lily Pad, Green Leaf Earrings, Boho Turquoise Long Earrings, STANDARD LEAF EAR",NA,26.58,NA,4.8648,"(41,812)",FREE shipping,https://www.etsy.com/listing/236815596/turquoise-leaf-earrings-art-nouveau-arts?click_key=a18a792451b20958b1ad44d975c752133ad97110%3A236815596&click_sum=7f958678&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-9&frs=1&etp=1&sts=1
14k Solid Gold Name Necklace-Customized Necklace-Personalized Necklace-Personalized Jewelry-Birthday Gifts-Gift For Her-JX11,200.00,120.00,(40% off),4.7586,"(41,726)",FREE shipping,https://www.etsy.com/listing/557634149/14k-solid-gold-name-necklace-customized?click_key=fe8036546a65243c6169c148395a32a522d6ab23%3A557634149&click_sum=5e9143ec&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-10&pro=1&frs=1&sts=1
Gold Horseshoe Necklace | Tiny Horseshoe Necklace,40.00,32.00,(20% off),4.9053,"(11,500)",FREE shipping,https://www.etsy.com/listing/213112785/gold-horseshoe-necklace-tiny-horseshoe?click_key=47d60035d15a0fb672f3eee2821cc59ad04c3ec8%3A213112785&click_sum=a10e8b3b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-11&pro=1&frs=1&sts=1
Birthstone Bar Necklace • Birthstone Necklace for Mom • Gold Bar Necklace • Birthstone Jewelry • Birthstone Bar • Personalized Gift Mom TBR1,50.00,42.50,(15% off),4.8803,"(73,531)",FREE shipping,https://www.etsy.com/listing/458620682/birthstone-bar-necklace-birthstone?click_key=eda1cb2b1dfbc994cceb6dc640382e7907e34152%3A458620682&click_sum=38826e1c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-12&pro=1&frs=1&sts=1
"High Quality Four Leaf Clover Set, 18k Gold Plated Necklace, Ear Cuffs, Bracelet, Agate, Mother of Pearl, Chalcedony, Malachite,Gift for her",24.00,18.00,(25% off),4.8149,(524),FREE shipping,https://www.etsy.com/listing/1656466159/high-quality-four-leaf-clover-set-18k?click_key=f1a108a25e77845e9f1ea6725e3daea848d2e4e4%3A1656466159&click_sum=4ec561db&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-5&pro=1&frs=1
"Personalized Handmade Women Gold Name Necklace,  Minimalist Christmas Gift for Her,  Personalized Gift for Women Who has everything",120.00,48.00,(60% off),4.9299,"(22,406)",FREE shipping,https://www.etsy.com/listing/1321754140/personalized-handmade-women-gold-name?click_key=828e00165c5e344aa4db56065a77d17c9d0607a7%3A1321754140&click_sum=3486509c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-6&pro=1&frs=1&sts=1
"Name Necklace Gold, Nameplate Necklace 14k Solid Gold, Custom Name Jewelry, Gold Filled Name, Mama Necklace, Personalized Name Jewelry, AU20",31.00,15.50,(50% off),4.7667,"(10,813)",FREE shipping,https://www.etsy.com/listing/1426958759/name-necklace-gold-nameplate-necklace?click_key=5c6ed3e9a3d3c210dd4de1c0c76d23788713e087%3A1426958759&click_sum=42c59900&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-7&pro=1&frs=1
"Dainty Birthstone Ring, Family Birthstone Rings,  Personalized Gift For Friend,  Birthstone Jewelry, Christmas Gift, 2,3,4,5 Stones Ring",44.00,22.00,(50% off),4.689,"(5,046)",FREE shipping,https://www.etsy.com/listing/1497579001/dainty-birthstone-ring-family-birthstone?click_key=ffacfc6b15da7fb95bce637f0696fe8250f3f75d%3A1497579001&click_sum=daa21c01&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-8&pro=1&frs=1
"Navy Statement necklace, Blue Chunky necklace, Modern Beaded necklace, Blue Ball necklace, Polymer clay jewelry, Geomteric Handmade necklace",38.37,32.62,(15% off),4.8673,(848),FREE shipping,https://www.etsy.com/listing/471392316/navy-statement-necklace-blue-chunky?click_key=3aa554755a1afa8b934d0a62bb95c6216a5a4065%3A471392316&click_sum=31ea8075&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-13&pro=1&frs=1
Red string bracelet | Simple bracelet | Goodluck bracelet,38.00,30.40,(20% off),4.9053,"(11,500)",FREE shipping,https://www.etsy.com/listing/478130375/red-string-bracelet-simple-bracelet?click_key=444da6a4d59f2f85ee39c5b9e6b77b85dcf62cd3%3A478130375&click_sum=45e9e473&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-14&pro=1&frs=1&sts=1
