Names,Original Prices,Current Prices,Discounts,Ratings,Review Counts,Free Shipping,URLs
Tiny Initial Heart Necklace . Hand Stamped Letter Necklace . Dainty Layering Necklace,42.42,36.05,(15% off),4.8402,"(4,125)",FREE shipping,https://www.etsy.com/listing/247583342/tiny-initial-heart-necklace-hand-stamped?click_key=ce5a6a2605af2017e97f70b3e945861a32422d93%3A247583342&click_sum=10598b3e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-36&pro=1&frs=1&sts=1
"14K Gold Name Bracelet,Personalized Name Bracelet,Dainty Layering Bracelet,Custom Name Jewelry,Gift for Mom,LVK04",46.00,23.00,(50% off),4.7823,"(4,311)",FREE shipping,https://www.etsy.com/listing/1549826627/14k-gold-name-braceletpersonalized-name?click_key=2136b2f35224885bd2342d62782d569e8135f3c3%3A1549826627&click_sum=944d25e9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-13&pro=1&frs=1&sts=1
"14K Solid Gold Family Birthstone Necklace, Birthstone Gift, Christmas Gift, Bridesmaid Gift, Gift for Mom, Birthday Gift, Birthstone Jewelry",26.67,14.67,(45% off),4.7557,"(12,129)",FREE shipping,https://www.etsy.com/listing/1301638116/14k-solid-gold-family-birthstone?click_key=a87034025902a7009ea8905c0d26a5942d969aa8%3A1301638116&click_sum=8f88875d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-14&pro=1&frs=1&sts=1
"Dainty Birth Flower Necklace, Birth Flower Necklace, Silver Necklace, Personalized Necklace For Her, Birthday Gift, Anniversary Gift",30.00,15.00,(50% off),4.7327,"(1,725)",FREE shipping,https://www.etsy.com/listing/1285582194/dainty-birth-flower-necklace-birth?click_key=eee1f0087e35fecf87deb02403329c72b00f6c4d%3A1285582194&click_sum=e699a64e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-15&pro=1&frs=1
Leaf Branch Stud Earrings • Minimalist Leaf Earrings • Silver Leaf Stud Earrings • Olive Branch Leaf Earrings • Gold Leaf Branch Earrings,NA,14.99,NA,4.7835,"(21,907)",FREE shipping,https://www.etsy.com/listing/1297380093/leaf-branch-stud-earrings-minimalist?click_key=4457d64252d276a0b282675f4f57810b1d6f553c%3A1297380093&click_sum=5b6ba7ca&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-16&frs=1&bes=1&sts=1
"Dainty Bracelet, Beaded Bracelet, Birthstone Bracelet, Handmade Jewelry, Gemstone Bracelet, Birthday Gifts For Her, Gold Bracelet, Silver",30.00,25.50,(15% off),4.8448,"(12,264)",NA,https://www.etsy.com/listing/232493185/dainty-bracelet-beaded-bracelet?click_key=8d9e26af95053ecd8c383d3a939b5ab93e52a5f2%3A232493185&click_sum=3eace8be&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-37&pro=1&sts=1
Vintage & Antique 1930s Art Deco Edwardian 0.51 Carat Total Weight Old European Cut Diamond Engagement Ring in Platinum | TheIdolsEye,NA,"2,100.00",NA,5,(144),FREE shipping,https://www.etsy.com/listing/461960186/vintage-antique-1930s-art-deco-edwardian?click_key=0884aecd855fb00bb3ec60ea2c5eac8ce4066192%3A461960186&click_sum=8f3af936&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-38&frs=1&etp=1&sts=1
"Rose Gold Mountain Necklace, Dainty Mountain Pendant Necklace, Mountain Necklace, Birthday Gift",NA,21.00,NA,4.8647,"(14,073)",NA,https://www.etsy.com/listing/496259453/rose-gold-mountain-necklace-dainty?click_key=cac6f057a810b6a8fc214b9df74cc48c2ff1d05b%3A496259453&click_sum=a8d9d610&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-39&etp=1
Gold Arrow Necklace | Gold | Sideways Arrow Necklace,40.00,32.00,(20% off),4.9053,"(11,500)",FREE shipping,https://www.etsy.com/listing/199162472/gold-arrow-necklace-gold-sideways-arrow?click_key=6ec66d567d1df4b272596364832a801b703981eb%3A199162472&click_sum=4026e168&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-40&pro=1&frs=1&sts=1
"1.8mm wide Man Made Diamond Simulant Half Eternity ring in Titanium, white gold or Silver - stacking ring - wedding band",NA,44.99,NA,4.8789,"(18,619)",NA,https://www.etsy.com/listing/503045819/18mm-wide-man-made-diamond-simulant-half?click_key=fef87b6ed97808faa836e473b6b2b6f4416c111b%3A503045819&click_sum=07318aa1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-41&etp=1&sts=1
"Circle Threader Earrings, Long Dangle Earrings, Dainty Everyday Earring, Gold Threader Earrings, Sterling Silver, by LEILAJewelryshop",37.00,33.30,(10% off),4.9151,"(18,142)",NA,https://www.etsy.com/listing/521854301/circle-threader-earrings-long-dangle?click_key=122f9eb0bfd8a1efe48f93b3c008b40256f508f2%3A521854301&click_sum=c131e1ce&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-42&pro=1&sts=1
"Silver Bangle, Adjustable Hammered Sterling Silver Bangle, Open Crossover Bangle, Solid Silver Bangle, Silver jewellery uk",NA,58.48,NA,4.9577,"(1,588)",NA,https://www.etsy.com/listing/507748539/silver-bangle-adjustable-hammered?click_key=a3ef7fb8d754b297adbdb2ec38f49e6acd040298%3A507748539&click_sum=05f58995&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-43&etp=1&sts=1
"Gold Opal Ring, Opal Ring, Gold Ring, Delicate Gold Ring, Stacking Ring, Stacking Opal Ring, Gold Filled Ring",NA,34.00,NA,4.8662,"(5,579)",FREE shipping,https://www.etsy.com/listing/466529577/gold-opal-ring-opal-ring-gold-ring?click_key=7a0ac6dc630816b1f1eef056b4f090acdcbfd8a8%3A466529577&click_sum=f9a2f950&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-44&frs=1&etp=1&sts=1
"Two strand twisted knot ring - silver and gold filled ring, promise or friendship ring",NA,35.47,NA,4.8559,"(15,358)",FREE shipping,https://www.etsy.com/listing/452639322/two-strand-twisted-knot-ring-silver-and?click_key=d75a6b0b6cceaa35d64d824f6f111a327365877f%3A452639322&click_sum=8f605096&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-45&frs=1&etp=1
Crystal Necklace - Crystals Wire Wrap - Crystal Jewelry - Handmade Necklace,33.00,28.05,(15% off),4.9333,(524),FREE shipping,https://www.etsy.com/listing/494478705/crystal-necklace-crystals-wire-wrap?click_key=0b9ecf9f9f6aa805386b69952b0362eea7a035eb%3A494478705&click_sum=a86e4c17&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-46&pro=1&frs=1&sts=1
Bicolor Flower Ring. Sterling ring with golden trim. Delicate. Adjustable. Romantic jewelry. Gifts for her.,NA,44.16,NA,4.8412,"(39,426)",NA,https://www.etsy.com/listing/226531218/bicolor-flower-ring-sterling-ring-with?click_key=d429a585c57d68b0aa934d5cb395628872d09a89%3A226531218&click_sum=17ba976e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-47&etp=1&sts=1
"Planet Necklace Planets Jewelry Galaxy Necklace, Galaxy Jewelry Solar System Necklace space jewelry",40.00,38.00,(5% off),4.9177,"(3,816)",FREE shipping,https://www.etsy.com/listing/186753146/planet-necklace-planets-jewelry-galaxy?click_key=3134d103f7666bce39ee815ffd7d797878224af1%3A186753146&click_sum=7a6af112&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-48&pro=1&frs=1
