Names,Original Prices,Current Prices,Discounts,Ratings,Review Counts,URLs,Free Shipping
"Crystal Cage Necklace, Handmade Gift for Her, Mom Wife Sister Mother's Day Birthstone, Personalized Grandmother Grandma Gemstones Daughter",67.20,50.40,(25% off),NA,11684,https://www.etsy.com/listing/259853170/crystal-cage-necklace-handmade-gift-for?click_key=ce562d3fda32d5f663cdd6fe0fce08d1ba6b13f5%3A259853170&click_sum=615f5055&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-41&pro=1&frs=1&sts=1,FREE shipping
Personalized Bar Necklace. Calligraphy Font Hand Stamped Custom Name Bar Necklace. Mother's Bar Necklace. Hand Lettering. Gift For Mom Her,NA,59.00,NA,NA,NA,https://www.etsy.com/listing/560636791/personalized-bar-necklace-calligraphy?click_key=58cf8bb9525e21e7ae390abcfaeabf12f3510370%3A560636791&click_sum=d331694b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-42&frs=1&etp=1,FREE shipping
Dandelion Wish Necklace / Water Drop / Dandelion Orb / Dandelion Seed Necklace / Dandelion Necklace / Resin Necklace / Dandelion Jewelry,NA,40.03,NA,NA,5102,https://www.etsy.com/listing/514514043/dandelion-wish-necklace-water-drop?click_key=9b459f3de81cecf12ab9c266a28eac755487fc77%3A514514043&click_sum=2c5d7e97&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-43&etp=1&sts=1,NA
"Original solid gold sun ring- hand stamped- three suns- dainty sunrise celestial ring- SUNSHINE- Available in solid 10k, 14k, 14k rose gold",NA,115.00,NA,NA,NA,https://www.etsy.com/listing/510030874/original-solid-gold-sun-ring-hand?click_key=dea85c00d155b0de98522dd9f347c74cdaf47e1c%3A510030874&click_sum=5aca9eb3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-44&etp=1&sts=1,NA
Star Bracelet | Gold or Silver Star Bracelet | Lunar Jewelry,44.00,35.20,(20% off),NA,2225,https://www.etsy.com/listing/278285602/star-bracelet-gold-or-silver-star?click_key=c0197ec32a4b0583ceb75930f814a8dda6b08085%3A278285602&click_sum=cc9bdc54&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-45&pro=1&frs=1&sts=1,FREE shipping
"Dandelion Seed Necklace , Dandelion Necklace , Pressed Flower Jewelry , Wish , Nature , Unique Jewelry - Everyday Jewelry Gift for Her",40.00,30.00,(25% off),NA,NA,https://www.etsy.com/listing/523741677/dandelion-seed-necklace-dandelion?click_key=9dd762ca89539f888217f8ff83cd43f8ce17d4a1%3A523741677&click_sum=0a2f0bb3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-46&pro=1&sts=1,NA
"Large Gold Wrap ring, 14K Gold Fill wraparound, gold filled wrapped criss cross, woven ring, infinity, intertwined, overlapping, texture",68.00,57.80,(15% off),NA,832,https://www.etsy.com/listing/276829058/large-gold-wrap-ring-14k-gold-fill?click_key=146552eaf6c52e43b1ba397842e904429726aa68%3A276829058&click_sum=79fe4227&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-47&pro=1&frs=1&sts=1,FREE shipping
Gold Horseshoe Necklace | Tiny Horseshoe Necklace,40.00,32.00,(20% off),NA,NA,https://www.etsy.com/listing/213112785/gold-horseshoe-necklace-tiny-horseshoe?click_key=43cc7ebfede2b2ffed98925947779b3fcc7e1d07%3A213112785&click_sum=7d71193d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-480909-1-48&pro=1&frs=1&sts=1,FREE shipping
NA,NA,NA,NA,NA,8791,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,5202,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,12199,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,41478,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1070,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,10471,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,5487,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,34029,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,559,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,5567,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,12199,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,79471,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,12199,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1811,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,606,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,442,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,7581,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,267,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,4527,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,4850,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1908,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,5026,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2859,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,7694,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,6738,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,4071,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,11465,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,40182,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,16309,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,11465,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
